,Aeration
2011-01-01 00:00:00,23.1
2011-01-01 00:00:01,23.6
2011-01-01 00:00:02,25.8
2011-01-01 00:00:03,24.1
2011-01-01 00:00:04,23.0
2011-01-01 00:00:05,23.5
2011-01-01 00:00:06,24.8
2011-01-01 00:00:07,24.5
2011-01-01 00:00:08,25.8
2011-01-01 00:00:09,24.7
2011-01-01 00:00:10,23.9
2011-01-01 00:00:11,24.5
2011-01-01 00:00:12,23.9
2011-01-01 00:00:13,22.6
2011-01-01 00:00:14,24.9
2011-01-01 00:00:15,22.9
2011-01-01 00:00:16,23.7
2011-01-01 00:00:17,24.4
2011-01-01 00:00:18,25.3
2011-01-01 00:00:19,25.0
2011-01-01 00:00:20,26.0
2011-01-01 00:00:21,23.4
2011-01-01 00:00:22,24.2
2011-01-01 00:00:23,26.3
2011-01-01 00:00:24,25.2
2011-01-01 00:00:25,21.1
2011-01-01 00:00:26,22.1
2011-01-01 00:00:27,23.7
2011-01-01 00:00:28,25.5
2011-01-01 00:00:29,25.3
2011-01-01 00:00:30,24.7
2011-01-01 00:00:31,24.1
2011-01-01 00:00:32,24.7
2011-01-01 00:00:33,24.1
2011-01-01 00:00:34,22.9
2011-01-01 00:00:35,22.6
2011-01-01 00:00:36,22.0
2011-01-01 00:00:37,22.5
2011-01-01 00:00:38,23.5
2011-01-01 00:00:39,24.2
2011-01-01 00:00:40,23.9
2011-01-01 00:00:41,21.9
2011-01-01 00:00:42,21.9
2011-01-01 00:00:43,25.7
2011-01-01 00:00:44,26.6
2011-01-01 00:00:45,26.7
2011-01-01 00:00:46,24.0
2011-01-01 00:00:47,22.5
2011-01-01 00:00:48,22.9
2011-01-01 00:00:49,22.8
2011-01-01 00:00:50,23.0
2011-01-01 00:00:51,26.0
2011-01-01 00:00:52,25.1
2011-01-01 00:00:53,24.9
2011-01-01 00:00:54,22.9
2011-01-01 00:00:55,20.9
2011-01-01 00:00:56,22.3
2011-01-01 00:00:57,25.4
2011-01-01 00:00:58,26.8
2011-01-01 00:00:59,26.6
2011-01-01 00:01:00,22.3
2011-01-01 00:01:01,23.7
2011-01-01 00:01:02,23.9
2011-01-01 00:01:03,24.2
2011-01-01 00:01:04,24.6
2011-01-01 00:01:05,23.4
2011-01-01 00:01:06,21.3
2011-01-01 00:01:07,22.1
2011-01-01 00:01:08,24.3
2011-01-01 00:01:09,24.2
2011-01-01 00:01:10,23.0
2011-01-01 00:01:11,23.6
2011-01-01 00:01:12,24.1
2011-01-01 00:01:13,24.6
2011-01-01 00:01:14,24.2
2011-01-01 00:01:15,22.9
2011-01-01 00:01:16,24.5
2011-01-01 00:01:17,25.6
2011-01-01 00:01:18,25.7
2011-01-01 00:01:19,22.8
2011-01-01 00:01:20,23.4
2011-01-01 00:01:21,22.5
2011-01-01 00:01:22,22.8
2011-01-01 00:01:23,22.6
2011-01-01 00:01:24,21.5
2011-01-01 00:01:25,25.0
2011-01-01 00:01:26,25.1
2011-01-01 00:01:27,23.9
2011-01-01 00:01:28,22.9
2011-01-01 00:01:29,23.8
2011-01-01 00:01:30,26.0
2011-01-01 00:01:31,26.9
2011-01-01 00:01:32,23.6
2011-01-01 00:01:33,20.9
2011-01-01 00:01:34,20.8
2011-01-01 00:01:35,22.3
2011-01-01 00:01:36,26.5
2011-01-01 00:01:37,26.3
2011-01-01 00:01:38,23.2
2011-01-01 00:01:39,21.7
2011-01-01 00:01:40,24.1
2011-01-01 00:01:41,25.4
2011-01-01 00:01:42,24.4
2011-01-01 00:01:43,22.8
2011-01-01 00:01:44,22.1
2011-01-01 00:01:45,25.5
2011-01-01 00:01:46,26.7
2011-01-01 00:01:47,26.8
2011-01-01 00:01:48,23.9
2011-01-01 00:01:49,22.1
2011-01-01 00:01:50,21.9
2011-01-01 00:01:51,23.4
2011-01-01 00:01:52,25.1
2011-01-01 00:01:53,26.3
2011-01-01 00:01:54,25.3
2011-01-01 00:01:55,24.1
2011-01-01 00:01:56,24.6
2011-01-01 00:01:57,25.4
2011-01-01 00:01:58,24.6
2011-01-01 00:01:59,22.8
2011-01-01 00:02:00,24.2
2011-01-01 00:02:01,24.8
2011-01-01 00:02:02,26.0
2011-01-01 00:02:03,24.4
2011-01-01 00:02:04,22.1
2011-01-01 00:02:05,23.2
2011-01-01 00:02:06,23.7
2011-01-01 00:02:07,24.8
2011-01-01 00:02:08,22.9
2011-01-01 00:02:09,21.1
2011-01-01 00:02:10,23.5
2011-01-01 00:02:11,25.4
2011-01-01 00:02:12,25.9
2011-01-01 00:02:13,22.4
2011-01-01 00:02:14,23.2
2011-01-01 00:02:15,25.5
2011-01-01 00:02:16,26.3
2011-01-01 00:02:17,25.4
2011-01-01 00:02:18,25.7
2011-01-01 00:02:19,22.9
2011-01-01 00:02:20,21.8
2011-01-01 00:02:21,23.6
2011-01-01 00:02:22,24.0
2011-01-01 00:02:23,24.2
2011-01-01 00:02:24,24.8
2011-01-01 00:02:25,23.7
2011-01-01 00:02:26,24.0
2011-01-01 00:02:27,24.7
2011-01-01 00:02:28,23.5
2011-01-01 00:02:29,22.4
2011-01-01 00:02:30,24.2
2011-01-01 00:02:31,24.7
2011-01-01 00:02:32,25.0
2011-01-01 00:02:33,23.4
2011-01-01 00:02:34,24.3
2011-01-01 00:02:35,23.1
2011-01-01 00:02:36,24.0
2011-01-01 00:02:37,24.9
2011-01-01 00:02:38,24.7
2011-01-01 00:02:39,24.6
2011-01-01 00:02:40,24.4
