,Flow
2014-01-01 00:00:00,13.751
2014-01-01 00:01:00,13.751
2014-01-01 00:02:00,13.751
2014-01-01 00:03:00,13.751
2014-01-01 00:04:00,13.751
2014-01-01 00:05:00,13.751
2014-01-01 00:06:00,13.751
2014-01-01 00:07:00,13.751
2014-01-01 00:08:00,13.751
2014-01-01 00:09:00,13.751
2014-01-01 00:10:00,13.751
2014-01-01 00:11:00,13.751
2014-01-01 00:12:00,13.751
2014-01-01 00:13:00,13.751
2014-01-01 00:14:00,13.751
2014-01-01 00:15:00,13.751
2014-01-01 00:16:00,13.751
2014-01-01 00:17:00,13.751
2014-01-01 00:18:00,13.751
2014-01-01 00:19:00,13.751
2014-01-01 00:20:00,13.751
2014-01-01 00:21:00,13.751
2014-01-01 00:22:00,13.751
2014-01-01 00:23:00,13.751
2014-01-01 00:24:00,13.751
2014-01-01 00:25:00,13.751
2014-01-01 00:26:00,13.751
2014-01-01 00:27:00,13.751
2014-01-01 00:28:00,13.751
2014-01-01 00:29:00,13.728
2014-01-01 00:30:00,13.751
2014-01-01 00:31:00,13.751
2014-01-01 00:32:00,13.751
2014-01-01 00:33:00,13.751
2014-01-01 00:34:00,13.751
2014-01-01 00:35:00,13.751
2014-01-01 00:36:00,13.751
2014-01-01 00:37:00,13.751
2014-01-01 00:38:00,13.78
2014-01-01 00:39:00,15.418
2014-01-01 00:40:00,21.118
2014-01-01 00:41:00,36.958
2014-01-01 00:42:00,39.273
2014-01-01 00:43:00,40.193
2014-01-01 00:44:00,42.815
2014-01-01 00:45:00,44.794
2014-01-01 00:46:00,45.5
2014-01-01 00:47:00,50.003
2014-01-01 00:48:00,53.452
2014-01-01 00:49:00,56.323
2014-01-01 00:50:00,59.685
2014-01-01 00:51:00,63.25
2014-01-01 00:52:00,66.485
2014-01-01 00:53:00,69.483
2014-01-01 00:54:00,72.886
2014-01-01 00:55:00,76.764
2014-01-01 00:56:00,80.491
2014-01-01 00:57:00,84.05
2014-01-01 00:58:00,87.592
2014-01-01 00:59:00,89.965
2014-01-01 01:00:00,93.275
2014-01-01 01:01:00,89.172
2014-01-01 01:02:00,96.944
2014-01-01 01:03:00,92.135
2014-01-01 01:04:00,101.19
2014-01-01 01:05:00,102.77
2014-01-01 01:06:00,103.41
2014-01-01 01:07:00,105.61
2014-01-01 01:08:00,106.85
2014-01-01 01:09:00,108.72
2014-01-01 01:10:00,109.36
2014-01-01 01:11:00,112.22
2014-01-01 01:12:00,113.49
2014-01-01 01:13:00,116.18
2014-01-01 01:14:00,119.5
2014-01-01 01:15:00,122.25
2014-01-01 01:16:00,126.38
2014-01-01 01:17:00,130.84
2014-01-01 01:18:00,125.83
2014-01-01 01:19:00,139.5
2014-01-01 01:20:00,143.95
2014-01-01 01:21:00,148.3
2014-01-01 01:22:00,151.36
2014-01-01 01:23:00,154.19
2014-01-01 01:24:00,156.23
2014-01-01 01:25:00,159.28
2014-01-01 01:26:00,162.28
2014-01-01 01:27:00,165.08
2014-01-01 01:28:00,166.94
2014-01-01 01:29:00,169.48
2014-01-01 01:30:00,172.28
2014-01-01 01:31:00,173.78
2014-01-01 01:32:00,174.89
2014-01-01 01:33:00,178.42
2014-01-01 01:34:00,181.2
2014-01-01 01:35:00,183.59
2014-01-01 01:36:00,186.05
2014-01-01 01:37:00,188.99
2014-01-01 01:38:00,191.52
2014-01-01 01:39:00,193.08
2014-01-01 01:40:00,196.64
2014-01-01 01:41:00,197.26
2014-01-01 01:42:00,200.72
2014-01-01 01:43:00,202.68
2014-01-01 01:44:00,204.15
2014-01-01 01:45:00,206.6
2014-01-01 01:46:00,208.64
2014-01-01 01:47:00,210.24
2014-01-01 01:48:00,213.53
2014-01-01 01:49:00,214.47
2014-01-01 01:50:00,216.15
2014-01-01 01:51:00,218.39
2014-01-01 01:52:00,218.46
2014-01-01 01:53:00,220.26
2014-01-01 01:54:00,221.04
2014-01-01 01:55:00,224.34
2014-01-01 01:56:00,225.09
2014-01-01 01:57:00,225.3
2014-01-01 01:58:00,226.65
2014-01-01 01:59:00,227.5
2014-01-01 02:00:00,228.77
2014-01-01 02:01:00,230.56
2014-01-01 02:02:00,229.72
2014-01-01 02:03:00,222.67
2014-01-01 02:04:00,231.4
2014-01-01 02:05:00,221.14
2014-01-01 02:06:00,231.8
2014-01-01 02:07:00,231.36
2014-01-01 02:08:00,233.2
2014-01-01 02:09:00,233.24
2014-01-01 02:10:00,232.29
2014-01-01 02:11:00,222.96
2014-01-01 02:12:00,232.37
2014-01-01 02:13:00,233.31
2014-01-01 02:14:00,226.48
2014-01-01 02:15:00,226.47
2014-01-01 02:16:00,235.06
2014-01-01 02:17:00,234.82
2014-01-01 02:18:00,234.82
2014-01-01 02:19:00,234.13
2014-01-01 02:20:00,233.82
2014-01-01 02:21:00,232.69
2014-01-01 02:22:00,236.57
2014-01-01 02:23:00,235.79
2014-01-01 02:24:00,236.1
2014-01-01 02:25:00,235.25
2014-01-01 02:26:00,232.87
2014-01-01 02:27:00,234.48
2014-01-01 02:28:00,233.31
2014-01-01 02:29:00,237.32
2014-01-01 02:30:00,236.33
2014-01-01 02:31:00,235.04
2014-01-01 02:32:00,236.69
2014-01-01 02:33:00,235.69
2014-01-01 02:34:00,235.03
2014-01-01 02:35:00,233.82
2014-01-01 02:36:00,235.75
2014-01-01 02:37:00,235.6
2014-01-01 02:38:00,236.37
2014-01-01 02:39:00,235.82
2014-01-01 02:40:00,235.09
2014-01-01 02:41:00,235.77
2014-01-01 02:42:00,235.25
2014-01-01 02:43:00,229.66
2014-01-01 02:44:00,239.64
2014-01-01 02:45:00,237.71
2014-01-01 02:46:00,227.63
2014-01-01 02:47:00,237.34
2014-01-01 02:48:00,235.08
2014-01-01 02:49:00,235.18
2014-01-01 02:50:00,238.19
2014-01-01 02:51:00,238.69
2014-01-01 02:52:00,235.19
2014-01-01 02:53:00,236.99
2014-01-01 02:54:00,236.5
2014-01-01 02:55:00,237.3
2014-01-01 02:56:00,236.44
2014-01-01 02:57:00,236.34
2014-01-01 02:58:00,229.03
2014-01-01 02:59:00,227.76
2014-01-01 03:00:00,237.76
2014-01-01 03:01:00,234.6
2014-01-01 03:02:00,236.25
2014-01-01 03:03:00,238.2
2014-01-01 03:04:00,238.71
2014-01-01 03:05:00,240.49
2014-01-01 03:06:00,239.6
2014-01-01 03:07:00,239.57
2014-01-01 03:08:00,238.47
2014-01-01 03:09:00,240.33
